Date,Pageviews,Clicks,Sign-ups,Payments
6/5/2020,3862,344,67,20
6/6/2020,4551,390,74,25
6/7/2020,5256,455,84,30
6/8/2020,4936,418,78,33
6/9/2020,5007,419,110,51
6/10/2020,4835,412,88,41
6/11/2020,4504,374,73,38
6/12/2020,3717,316,55,35
6/13/2020,4230,346,66,52
6/14/2020,5334,431,83,62
6/15/2020,5330,434,98,46
6/16/2020,4974,419,81,46
6/17/2020,4162,333,64,28
6/18/2020,4717,337,84,61
6/19/2020,4344,346,87,64
6/20/2020,4448,354,81,30
6/21/2020,4768,380,117,49
6/22/2020,4682,368,77,53
6/23/2020,4664,370,98,43
6/24/2020,4673,367,82,38
6/25/2020,4445,353,69,47
6/26/2020,4230,341,78,32
6/27/2020,4418,347,103,34
