Date,Pageviews,Clicks,Sign-ups,Payments
6/5/2020,3858,343,53,17
6/6/2020,4644,393,58,46
6/7/2020,5240,442,73,40
6/8/2020,4934,414,69,46
6/9/2020,4897,416,70,47
6/10/2020,4750,394,65,31
6/11/2020,4544,390,64,22
6/12/2020,3832,326,47,31
6/13/2020,4217,349,60,39
6/14/2020,5248,430,77,49
6/15/2020,5276,432,72,36
6/16/2020,4869,401,64,35
6/17/2020,4088,321,61,34
6/18/2020,4701,349,97,47
6/19/2020,4335,335,64,41
6/20/2020,4441,347,77,51
6/21/2020,4828,386,107,60
6/22/2020,4698,368,81,60
6/23/2020,4631,364,101,48
6/24/2020,4654,364,104,34
6/25/2020,4358,361,91,62
6/26/2020,4224,348,71,50
6/27/2020,4418,362,91,52
